Date,Open,High,Low,Close,Volume,Adj Close
2011-08-01,6.40,6.43,4.95,5.59,8753600,5.467295
2011-07-01,9.02,9.15,5.77,6.24,7481300,6.103026
2011-06-01,9.08,9.34,7.94,8.91,6624000,8.714417
2011-05-02,9.24,10.35,8.98,9.10,7146500,8.900248
2011-04-01,9.08,9.16,7.76,9.09,6280000,8.890467
2011-03-01,8.56,9.38,7.71,8.71,7897700,8.518808
2011-02-01,9.97,10.21,8.16,8.61,9838400,8.421003
2011-01-03,10.11,11.56,9.67,9.92,7293500,9.702248
2010-12-01,11.34,11.43,9.80,10.01,4250400,9.790273
2010-11-01,11.88,12.26,10.51,11.16,5230000,10.915029
2010-10-01,9.29,12.24,8.94,11.79,6946600,11.531199
2010-09-01,9.33,10.17,8.51,9.25,6396900,9.046955
2010-08-02,11.00,11.40,8.40,9.04,8013900,8.841564
2010-07-01,8.62,11.15,8.02,10.85,9944900,10.611834
2010-06-01,8.64,10.87,8.16,8.61,11252400,8.421003
2010-05-03,7.21,8.97,5.70,8.83,13653800,8.636174
2010-04-01,7.37,7.87,6.27,7.07,16121400,6.914808
2010-03-01,7.41,8.17,6.81,7.35,7786200,7.188661
2010-02-01,5.43,7.40,5.35,7.33,12594300,7.1691
2010-01-04,4.84,5.96,4.47,5.31,14819700,5.193441
2009-12-01,3.77,5.40,3.63,4.84,11713700,4.733758
2009-11-02,3.12,3.72,2.82,3.69,7745000,3.609001
2009-10-01,4.62,4.70,2.95,3.06,10392800,2.99283
2009-09-01,3.40,5.60,2.89,4.70,17874700,4.596831
2009-08-03,2.98,3.88,2.61,3.40,10288100,3.325367
2009-07-01,2.40,3.12,2.00,2.93,8344100,2.865684
2009-06-01,2.61,3.20,2.11,2.43,7708000,2.37666
2009-05-01,3.96,5.35,2.41,2.58,10459900,2.523367
2009-04-01,2.46,5.06,2.44,3.79,7419400,3.706806
2009-03-02,2.80,3.46,1.88,2.53,6491400,2.474464
